Protein1,Protein2,AbsPos1,AbsPos2
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,129,121
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,129,126
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,129,130
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,129,132
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,129,140
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,129,141
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,258,254
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,258,257
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,258,259
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,258,267
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,258,268
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,386,374
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,386,375
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,386,379
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,386,383
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,386,385
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,386,388
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,386,395
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,131,121
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,131,126
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,131,130
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,131,132
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,131,140
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,131,141
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,131,143
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,262,254
